5
Narwhal Prime|Haunted Mansion|400|Mexican|false|OwnerResident|W
Narwhal Secundus|Main St Apartments #1|400|Mexican|false|OwnerResident|W
One|Main St Apartments #1|400|Mexican|false|OwnerResident|W
Two|Main St Apartments #2|400|Mexican|false|OwnerResident|W
Three|Main St Apartments #2|400|Mexican|false|OwnerResident|W
3
Haunted Mansion|Narwhal Prime|Narwhal Prime
Main St Apartments #1|Narwhal Secundus|Narwhal Secundus|One
Main St Apartments #2|Two|Two|Three
25
Narwhal Prime|Rancho Del Zocalo|Customer|0
Narwhal Prime|Blue Bayou|Customer|0
Narwhal Prime|Pizza Port|Waiter|1
Narwhal Prime|Village Haus|Customer|0
Narwhal Prime|Carnation Cafe|Customer|0
Narwhal Secundus|Rancho Del Zocalo|Customer|0
Narwhal Secundus|Blue Bayou|Customer|0
Narwhal Secundus|Pizza Port|Waiter|2
Narwhal Secundus|Village Haus|Customer|0
Narwhal Secundus|Carnation Cafe|Customer|0
One|Rancho Del Zocalo|Customer|0
One|Blue Bayou|Customer|0
One|Pizza Port|Customer|0
One|Village Haus|Customer|0
One|Carnation Cafe|Customer|0
Two|Rancho Del Zocalo|Customer|0
Two|Blue Bayou|Customer|0
Two|Pizza Port|Customer|0
Two|Village Haus|Customer|0
Two|Carnation Cafe|Customer|0
Three|Rancho Del Zocalo|Customer|0
Three|Blue Bayou|Customer|0
Three|Pizza Port|Customer|0
Three|Village Haus|Customer|0
Three|Carnation Cafe|Customer|0
